

# Message 1:
♦️ O
SPECIAL O
OFFERS O
ON O
ELECTRONICS O
! O
#phones O
, O
#laptops O
, O
#tabs O
, O
#desktops O
, O
#wifipods O
, O
#printers O
, O
#copiers O
, O
#faxmachines O
, O
#playstations O
... O
🔴 O
ሙሉ O
አክሰሰሪ O
| O
ከዋስትና O
ጋር O
✅ O
CALL O
* O
0920141058 O
* O
✅ O
TEXT O
* O
@mentoraltair O
* O
------------------------------------------- O
♦️2019/2020 O
ORIGINAL O
♦️ O
------------------------------------------- O
♦️ B-Product
SAMSUNG I-Product
♦️ O
------------------------------------------- O
♦️ B-Product
A01 I-Product
(16GB) I-Product
➡️ O
5,000 B-PRICE
br I-PRICE
♦️ B-Product
A10s I-Product
(32GB) I-Product
➡️ O
6,500 B-PRICE
br I-PRICE
♦️ B-Product
A11 I-Product
(32GB) I-Product
➡️ O
7,200 B-PRICE
br I-PRICE
♦️ B-Product
M11 I-Product
(32GB) I-Product
➡️ O
7,800 B-PRICE
br I-PRICE
♦️ B-Product
A20s I-Product
(32GB) I-Product
➡️ O
8,000 B-PRICE
br I-PRICE
------------------------------------- O
♦️ B-Product
A30s I-Product
(64GB) I-Product
➡️ O
10,000 B-PRICE
br I-PRICE
♦️ B-Product
A30s I-Product
(128GB) I-Product
➡️ O
10,500 B-PRICE
br I-PRICE
♦️ B-Product
M30s I-Product
(64GB) I-Product
➡️ O
10,000 B-PRICE
br I-PRICE
♦️ B-Product
M30s I-Product
(128GB) I-Product
➡️ O
11,500 B-PRICE
br I-PRICE
♦️ B-Product
A31 I-Product
(128GB) I-Product
➡️ O
11,500 B-PRICE
br I-PRICE
♦️ B-Product
M31 I-Product
(128GB) I-Product
➡️ O
13,500 B-PRICE
br I-PRICE
------------------------------------- O
🔸 O
SAMSUNG O
🔸 O
------------------------------------- O
♦️ B-Product
S8 I-Product
(64GB) I-Product
➡️ O
10,700 B-PRICE
br I-PRICE
♦️ B-Product
S8+ I-Product
(64GB) I-Product
➡️ O
13,400 B-PRICE
br I-PRICE
♦️ B-Product
S9+ I-Product
(64GB) I-Product
➡️ O
15,800 B-PRICE
br I-PRICE
♦️ B-Product
NOTE I-Product
8 I-Product
(64GB) I-Product
➡️ O
14,500 B-PRICE
br I-PRICE
♦️ B-Product
NOTE I-Product
9 I-Product
(128GB) I-Product
➡️ O
19,300 B-PRICE
br I-PRICE
------------------------------------- O
🔸 O
iPhone O
🔸 O
------------------------------------- O
♦️ B-Product
iPHONE I-Product
6 I-Product
(64GB) I-Product
➡️ O
7,000 B-PRICE
br I-PRICE
♦️ B-Product
iPHONE I-Product
6+ I-Product
(64GB) I-Product
➡️ O
8,000 B-PRICE
br I-PRICE
♦️ B-Product
iPHONE I-Product
7+ I-Product
(128GB) I-Product
➡️ O
15,500 B-PRICE
br I-PRICE
♦️ B-Product
iPHONE I-Product
8+ I-Product
(64GB) I-Product
➡️ O
17,500 B-PRICE
br I-PRICE
------------------------------------- O
♦️ B-Product
A60 I-Product
(64GB) I-Product
➡️ O
13,000 B-PRICE
br I-PRICE
♦️ B-Product
A51 I-Product
(128GB) I-Product
➡️ O
14,000 B-PRICE
br I-PRICE
♦️ B-Product
A70 I-Product
(128GB) I-Product
➡️ O
15,000 B-PRICE
br I-PRICE
♦️ B-Product
A71 I-Product
(128GB) I-Product
➡️ O
19,000 B-PRICE
br I-PRICE
♦️ B-Product
A80 I-Product
(128GB) I-Product
➡️ O
20,500 B-PRICE
br I-PRICE
------------------------------------- O
🔸 O
SAMSUNG O
🔸 O
------------------------------------- O
♦️ B-Product
TAB I-Product
3 I-Product
➡️ O
6,500 B-PRICE
br I-PRICE
♦️ B-Product
TAB I-Product
A6 I-Product
➡️ O
9,500 B-PRICE
br I-PRICE
♦️ B-Product
NOTE I-Product
TAB I-Product
(10") I-Product
➡️ O
9,500 B-PRICE
br I-PRICE
------------------------------------- O
✅ O
Wi-Fi O
pod O
bolt+ O
➡️ O
for O
only O
2,500 B-PRICE
br I-PRICE
✅ O
Huawei O
Wi-Fi O
pod O
(4G) O
➡️ O
for O
only O
3,000 B-PRICE
br I-PRICE
------------------------------------- O
And O
many O
more O
brands O
of O
PHONES O
, O
TABS O
, O
LAPTOPS O
, O
DESKTOPS O
, O
PRINTERS O
, O
COPIERS O
& O
FAX O
MACHINES O
❗️ O
✅ O
CALL O
* O
0920141058 O
* O
✅ O
TEXT O
* O
@mentoraltair O
* O
♦️ O
#original O
#ኦሪጂናል O

# Message 2:
Medicube B-Product
Deep I-Product
Vita I-Product
C I-Product
Capsule I-Product
Cream I-Product
, O
a O
skincare O
product O
designed O
to O
brighten O
and O
firm O
the O
skin O
. O

Here O
's O
some O
information O
about O
the O
product O
: O
Key O
Ingredients O
: O
It O
contains O
50% B-Product
Vitamin I-Product
Tree I-Product
Water I-Product
(Sea I-Product
Buckthorn I-Product
Extract) I-Product
, O
5% B-Product
Niacinamide I-Product
, O
and O
encapsulated O
Pure O
Vitamin O
C O
, O
along O
with O
other O
ingredients O
like O
Ferulic O
Acid O
and O
Vitamin O
E O
in O
a O
transparent O
gel O
base O
. O
Benefits O
: O
It O
aims O
to O
improve O
uneven O
skin O
tone O
, O
dark O
spots O
, O
dullness O
, O
and O
provide O
deep O
hydration O
, O
leading O
to O
a O
more O
radiant O
and O
even O
complexion O
. O
Call O
0987233666 O
Price B-PRICE
3800 I-PRICE
birr I-PRICE

# Message 3:
Hair B-Product
bonnet I-Product
✨ O
250 B-PRICE
birr I-PRICE

@beautyheavenn O
@beautyyheavenn O
With O
free O
delivery O
✨ O

# Message 4:
👟👟 O
NIKE B-Product
ZOOM I-Product
👟👟 O
💰💰PRICE B-PRICE
= O
1800 I-PRICE
ETB I-PRICE

SIZE O
41 O

📱📱+251963345527 O

INBOX O
@Besu321 O

JOIN O
FOR O
MORE O
👇👇 O
👉 O
@Bmarekt O
👈 O

# Message 5:
Samsung B-Product
Tv-55 I-Product
inch I-Product
4k I-Product
Uhd I-Product
resolution I-Product
price B-PRICE
- O
41,000 I-PRICE
birr I-PRICE
only O
Contact O
☎️ O
@abashenafi O
or O
@bettyted O

# Message 6:
participate O
and O
win O
. O
you O
got O
nothing O
to O
lose O
. O
Free O
sticker O
give O
away O
Brought O
to O
you O
by O
@ssticky O
. O

# Message 7:
I O
m O
taking O
orders O
for O
allstar B-Product
converse I-Product
....... O
order O

# Message 8:
2⃣ተኛ O
ዙር O
የፈረስ B-Product
ትራንስፖርት I-Product
ሽልማት I-Product
የያጋሩ I-Product
ይሸለሙ I-Product
መልዕክት I-Product
👇 O
🐎🐎የመስቀል O
በዐል O
ልዩ O
ሽልማት O
ከ O
ፈረስ B-Product
ትራንስፖርት I-Product
! O
🐎🐎 O
ለ O
ቴሌግራም O
ቻናላችን O
ተከታይዎች O
! O

ባልነው O
መሰረት O
የያጋሩና O
ይሸለሙ O
ውድድር O
አሸናፊዎቻችን O
በአስገራሚ O
ስጦታዎች O
